"Session Title","Session Description","Speaker Bio(s)"
"Frederick Douglass on the Massachusetts' Antislavery Circuit, 1840-1860","In 1838, newly self-emancipated Frederick Douglass arrived in New Bedford, Massachusetts with his bride Anna Murray Douglass, seeking nothing more than the safety of freedom. This presentation follows Douglass across Massachusetts—from his first public address on Nantucket to the radical ""One Hundred Conventions"" tour sponsored by the Massachusetts Antislavery Society. Through examining his experiences speaking at over 140 different cities and towns, we examine how his experiences in the Bay State served as a primary laboratory for Douglass's activism, his groundbreaking publications, and his unwavering pursuit of justice for all.","Anne F. Mattina, PhD, is Professor Emerita in the Department of Communication at Stonehill College, where she served as Department Chair from 2013 to 2021. A specialist in rhetoric and political communication, her research focuses on 19th-century American social movements and 20th-century gender and politics. In 2023, she was awarded a research fellowship by Mass Humanities. Dr. Mattina is a Distinguished Teaching Fellow of the Eastern Communication Association and currently serves as President of the Hopkinton, Massachusetts Historical Society. She holds a PhD from The Ohio State University."
"From the Triangle Fire to Today: Women, Work, and the Fight for Safety and Dignity","In March 1911, a fire raced through the Triangle Shirtwaist Factory in New York City, killing 146 garment workers — most of them young immigrant women. This talk explores how the Triangle Fire sparked new conversations about safety, workers' rights, and the role of women in shaping reform. Attendees will meet the women who turned tragedy into action — including Frances Perkins and Clara Lemlich. More than a century later, the echoes of that day still shape the way we work today.","Alycia Asai, M.A., holds a master's degree in United States history, with research interests in women, labor, and the evolution of the social safety net in America. Her writing has appeared in Nursing Clio and Inside History Magazine. She is the lead researcher, writer, and producer of Civics & Coffee: A History Podcast. She is currently researching a book that examines the evolution of welfare policy in the United States."
"George Boutwell: Fighting to Redeem America's Promise","George Boutwell (1818-1905) is the most consequential public figure Americans have never heard of. As the youngest-ever governor of Massachusetts, Boutwell fought for equality and civil rights for all Americans from before the Civil War through the end of Reconstruction. He helped write the 14th and 15th amendments to the Constitution, led the impeachment of Andrew Johnson while in Congress, and helped establish the Modern American economy as Grant's Secretary of the Treasury. George Boutwell fought to ""redeem America's promise"" of equal rights and equal opportunity, and even took on Teddy Roosevelt as President of the Anti-Imperialist League.","Jeffrey Boutwell, PhD, is retired from a 30-year-career on nuclear weapons arms control and the author of the biography of family member George S. Boutwell titled BOUTWELL: Radical Republican and Champion of Democracy, published by W.W. Norton in 2025. Jeffrey grew up in Concord, Massachusetts, received his PhD from M.I.T., and worked for many years at the American Academy of Arts and Sciences in Cambridge, Mass."
"How English Witch-Hunting Manuals Guided New England's Witch Trials, 1647-1697","Witchcraft belief in colonial New England was primarily imported from England by the colonists and refreshed through transatlantic trade and communication networks. Ministers and judges in New England consulted English legal and theological works for advice on the practical matters of operating a witchcraft prosecution. In this talk, we'll cover the Malleus Maleficarum, King James' Demonology, and works by William Perkins, Richard Bernard, and other English authors, comparing them to themes prevalent in New England books of the colonial period.","Josh Hutchinson descends from people accused of witchcraft and people who accused others of witchcraft. He is the co-host of three history podcasts with Sarah Jack, and a co-founder of the Connecticut Witch Trial Exoneration Project and of End Witch Hunts. | Sarah Jack is a documented descendant of victims of witch trials held in Salem, Boston, and Hartford. She co-hosts three history podcasts with Josh Hutchinson, co-founded the Connecticut Witch Trial Exoneration Project, and is the Founding Executive Director of End Witch Hunts."
"How King Philip's War led to the Revolutionary War","While the nation commemorates 250 years since the Declaration of Independence, this year also marks 350 years since King Philip's War (1675–1676)—a pivotal but often overlooked conflict fought right here in New England. This presentation by Dr. David Weed will shed light on the causes, key events, and lasting legacy of the war, connecting it to the growing spirit of independence that would emerge a century later.","David Weed, Psy.D., a retired clinical psychologist living in Warren, RI, became interested in the history of the 17th century in and around his community. In 2020 he launched the Sowams Heritage Area Project which is working to create a new National Heritage Area encompassing nine communities between Bristol and Providence, R.I."
"""I Am Not A Cautious Man"": The Most Important Founding Father You've Never Heard Of","As our first and only disabled Founding Father, Gouverneur Morris of New York didn't let the loss of a leg slow him down. He was an ardent Federalist, a passionate and outspoken Abolitionist, and a delegate to the Constitutional Convention who played a vital role in writing the Preamble. He succeeded Thomas Jefferson as U.S. Minister to France, served as a Senator, and helped design the street grid of Manhattan. In this session, we will explore the many accomplishments of a man whose ideas were ahead of their time.","Rebecca Flynt is an author and storyteller with a passion for early American history. Her first novel, American Harlot, was published in 2024. Flynt enjoys speaking about the founding period and was a guest on historian Clay Jenkinson's podcast Listening to America. Her second novel, Upon Leaving Bizarre, tells the scandalous story of Nancy Randolph, who would go on to become the wife of Gouverneur Morris."
"Is he really buried there? Searching for the graves of the Signers of the Declaration of Independence","What started out as a quirky hobby soon became an obsession: traveling to and photographing the graves of the 56 signers of the Declaration of Independence. A number of Declaration signers were not interred in their original burial locations or perhaps in unmarked graves. Hear some of the unusual stories of signers who were moved from their original burial places and whether all 56 were found.","Jennifer Epstein Rudnick knew she wanted a career in history after being inspired by her fifth-grade teacher. She grew up in northwestern Connecticut and earned a Bachelor of Arts from Gettysburg College. She has worked for the National Park Service at several sites, and for more than 25 years, has been on the National Mall in Washington, DC. She lives in Northern Virginia with her husband."
"Living Historian: Britain's Glider Pilot Regiment","Join living historian Kevin Getz for a presentation on the creation and history of the British Airborne's Glider Pilot Regiment, from its inception through Operation Husky, Overlord, Arnhem, and Operation Varsity. Getz will be in a kit which includes a kilt in order to better tell the story of Captain James G. Ogilvie, a glider pilot who flew into Arnhem wearing his Gordon Highland kilt.","Kevin Getz has been a living historian for nearly 30 years, Former 2IC of the 9th Parachute Battalion, Co-podcaster of the Ham & Jam – the British Airborne podcast, and a 33-year veteran of the Indiana State Police."
"Maine Women and the Great Gathering of 10,000 in 1854","As early as the 1830s, rural Maine women committed themselves to the cause of abolition, a risky and radical stance. This presentation focuses on the Great Gathering of 10,000 in 1854, identifying what informed them and the many substantive local and national actions they accomplished to make a difference, speaking to the power of rural women to do far more than take care of home and hearth.","Judith C. Granger, MEd, is a genealogist, a citizen historian, and a story teller. Since retiring, she has focused her research on the lives of two Black self-emancipating families who joined their kith and kin to settle wilderness Maine. She presents their evolving stories at genealogical and historical societies from Bar Harbor to Boston, and Kittery to Concord."
"Mapping Boston's Literary History: From Colonial Printing Presses to Confessional Poets","Boston has an incredibly rich literary history, yet many people walk past sites every day where authors of the past lived, wrote, gathered, and published without realizing it. In this session, Kent will walk attendees through the highlights of Boston's literary past, from Colonial printing presses to 20th-century poets, placing each location on a map of Boston and Cambridge. Note: Jessica will also be hosting walking tours of the Boston area on Sunday, August 9, 2026.","Jessica A. Kent is the founder and director of Literary Boston, a cultural initiative that promotes the Boston literary community, past and present. She holds a BFA in Creative Writing from Emerson College and a Master's in Literature from Harvard University. Her short fiction has appeared in the North American Review and the Emerson Review. She is currently working on a novel about paramedics in 1970s Boston."
"Martians! What the War of the Worlds Broadcast Tells Us about American Society on the Eve of WWII","The 1938 Orson Welles radio production of H.G. Wells's War of the Worlds has gone down in history for causing a panic about a Martian invasion. Were people back then really so gullible, or were there close connections between that story and the state of the world on the brink of another world war? We'll explore the details of this amazing historical moment and listen to some clips from the actual broadcast together.","Lori Rogers-Stokes, PhD, is an independent scholar, public historian, and contributing editor for New England's Hidden Histories, a digital history project from the Congregational Library and Archives. She is the author of Gathered into a Church: Indigenous-English Congregationalism in Woodland New England. Lori has also spent many years analyzing U.S. history through the lens of mid-century horror radio broadcasts from the 1930s-80s."
"Much More than Taxation: Mercantilism and the Coming of the Revolution","While many motives compelled colonists to resist British efforts to impose greater control over the colonies, taxes and commercial restrictions became the flashpoints of overt colonial resistance. This talk explores why Britain was so intransigent on these points, examining contemporary European attitudes shaped by the predominant economic theory of the day: Mercantilism.","Steven C. Call, PhD, earned his bachelor's degree in history from SUNY Binghamton in 1981 and his PhD in 1997 from Ohio State University, specializing in military, European, and American history. Steve retired from the Air Force in 2001 after twenty years and began his career as a college professor. His books include Danger Close: Tactical Air Controllers in Afghanistan and Iraq and Selling Air Power. Steve retired from teaching in 2024 and now works as an independent historian, living in Upstate New York."
"Nathanael Greene: Savior of the Continental Army","Nathanael Greene was the strategist of the American Revolution. His role in the War for Independence was second only to General George Washington. Born and reared a Quaker, with no military experience, he was promoted from private to brigadier general literally overnight. It was Greene who drove British General Cornwallis to surrender at Yorktown. Three years after the official end of the war, Nathanael Greene was dead at the age of forty-four, a result not only of the hardships of the War, but the cruelty inflicted on him by members of Congress.","Janet Uhlar imparts accurate history through biographical-fiction. Her research on Joseph Warren and Nathanael Greene began in 1985, culminating in her book and screenplay Liberty's Martyr, and the book Freedom's Cost. Janet teaches ""The American Revolution: A Different Perspective"" at the Cape Cod Community College and has been published in the Journal of the American Revolution. She served on the Board of Trustees of the Nathanael Greene Homestead."
"Only a Dozen Loyalists in Marblehead?!","The invaluable service of Marblehead's many Patriots in the American Revolution is well documented. Lesser known is that of nearly 950 families, only about a dozen heads of households can be identified as Loyalists, and all left town — though ten years later, half of them returned. In this illustrated talk, architectural and social historian Judy Anderson will present some of their stories and showcase their homes.","Judy Anderson is an architectural, cultural, and social historian who has spoken about Marblehead for more than 30 years. She became the first year-round staff person and administrative director at the Marblehead Museum, later serving as curator of the Colonel Jeremiah Lee Mansion. She has spoken at museums and cultural organizations up and down the Atlantic seaboard, including the Colonial Williamsburg Antiques Forum and the Victoria & Albert Museum in London."
"Oxen and the Revolution: How Four Hooves and a Set of Horns Helped Forge a Nation (1775-1781)","March 17, 1776: cannons roar from Dorchester Heights, moved from Fort Ticonderoga by Colonel Henry Knox in one of the greatest logistical feats in military history. It was oxen who carved a path through the American War of Independence, keeping the armies clothed, fed, and armed. Learn about oxen themselves — the terminology, anatomy, and science behind these amazing animals — and follow them from Lexington to Yorktown.","Owen Laurenzo has always been interested in the American and French Revolutionary Wars, as well as animal husbandry and training. He has two pairs of oxen, raised and trained almost entirely on his own, and has been involved with 4H for 8 years and re-enacting since 2023. His oxen pulled the cannon at nine events during the 250th anniversary celebration of Henry Knox's Noble Train of Artillery."
"Park Street: A Mirror of Boston for Centuries","Park Street has overlooked Boston Common, the country's oldest public park, for almost four centuries. This illustrated talk will show how Park Street changed to echo the people and architecture of each era, from the Granary, Almshouse, Workhouse, and jail of the early period to private homes and Park Street Church in the 19th century.","Rose A. Doherty is a board member of The Pursuit of History, Honorary Fellow of the Massachusetts Historical Society, and tour leader for the Friends of the Public Garden. Rose was academic dean and later chair of the board of trustees of Gibbs College. She is the author of Katharine Gibbs: Beyond White Gloves."
"Paul Revere: Messenger Boy turned Industrial Entrepreneur","Almost everyone knows about Paul Revere's midnight ride, but less discussed is Revere's role during the Revolution as a man always on the go. His revolutionary experience — from replicating a gunpowder mill to becoming a bell maker and opening a copper rolling mill — transformed him from a small-time silversmith to an industrial entrepreneur.","John Morton, PhD, is the Executive Director of the Paul Revere Museum of Discovery and Innovation (MoDI) in Canton, Massachusetts. Before becoming director of the MoDI, John was a visiting professor at Saint Joseph's University in Philadelphia and at Boston College. He studied history at Boston College, UMass Amherst, and the University of Vermont, and his research focuses on New England and Atlantic Canada after the American Revolution."
"Politics & Public Health, 1918: The Great War Meets the Great Influenza","America was founded on the principle of liberty, yet, as citizens, we are sometimes called upon to sacrifice for the government. In 1918 the United States prepared to enter World War I just as history's most devastating influenza pandemic began its spread. How did Americans respond, and what priorities did the government have? We will explore culture, mandates and details of what played out to put both government and public health into perspective.","B. Dale Magee, MD, is a retired physician whose career has included public health and public policy as well as clinical practice. He began the New England History of Medicine Society in 2025 and has served as Commissioner of Public Health for the City of Worcester and president of both the Massachusetts and Worcester Medical Societies."
"Printing Revolution: Declaration Edition","This presentation looks at the development of the printing press and printing technologies, with an emphasis on the legal & publication battles fought for Freedom of the Press and Free Speech as it unfolded between the American Colonies and England, culminating with the printing of the Declaration of Independence.","Andy Volpe is an artist, printer, and living history presenter based in Worcester, MA. He works with the Museum of Printing in Haverhill, MA, and the Printing Office of Edes & Gill, where he replicates engravings of Paul Revere. He can also be found giving arms and armor presentations at the Worcester Art Museum."
"Quaker Girl Takes Washington's Center Stage: The Influence of Dolley Madison","Stroll through the social and political swirl of post-Revolution America! Your escort will be Dolley Madison, the Quaker child who transformed herself into one of America's most powerful First Ladies. Discover how this patriot used her charm, wit, and resourcefulness to unite our country and influence it socially and politically.","Janet Parnes has been whisking overlooked American heroines out of History's dusty archives and bringing them to life for 20 years. Through her company, Historical Portrayals by Lady J, Janet brings to life ladies that include Dolley Madison, Deborah Sampson, and Frances Perkins. Janet has performed at History Camp Boston, the Massachusetts State House, and the JFK Presidential Library & Museum."
"Race & Brutality in the Neutral Ground: Colonel Christopher Greene and the 1st Rhode Island Regiment at Pines Bridge, May 14, 1781","In the wake of the battles around New York City in 1776, the Neutral Ground of Westchester County became contested terrain between Patriot forces and Loyalist irregulars known as ""Cowboys."" The second part of this session focuses on Colonel Christopher Greene, cousin of General Nathaniel Greene, who commanded the integrated First Rhode Island Regiment and lost his life in a violent raid on his headquarters at Pine's Bridge. Together, these presentations reveal a lesser-known aspect of the American Revolution at the small unit level.","Ben Powers, MA, resides in Texas with his wife and four children. Ben is a retired Army officer, author, YouTuber, and President of the Board of Directors of the American Veterans Archaeological Recovery Project (AVAR). | Bjorn Bruckshaw is an independent historian of the American Revolution and host of the YouTube Channel Rogue Island. A combat infantryman and Purple Heart recipient, he has written for the Journal of the American Revolution and resides in New Hampshire with his daughter."
"Reconstructing the Spoken Word of the 18th Century through the Adams' Letters and Language","The letters between John and Abigail Adams survive as one of the most comprehensive records of day to day life during the Revolution and Early Federal period. At the time, reading letters was a communal act. Join Abigail Adams interpreter Sarah Walsh and historical dialect coach Christopher S. Davis in a live recording session of ""Adams Letters and Language: A Revolutionary, Elocutionary Podcast"" as they explore how reconstructing the voices of the past can help us more deeply connect to our forebears.","Sarah Walsh is a librarian and educator who became involved in living history thanks to theater, taking on the role of Abigail Adams in the first fully staged production of ""1776"" with an all-women and nonbinary cast, and later joining an 18th century re-enactment group. | Christopher S. Davis has over 12 years of experience as a dialect coach, actor, and historical interpreter, specializing in spoken English from about 1500 to the early-1900s. He is a member of VASTA and the American Dialect Society, and has a particular passion for the Boston Tea Party."
"Remembering 1918: Stories from an Epidemic","Growing up, Patricia Fanning heard only one story about her grandmother: that she died in the 1918 influenza epidemic at age 38. Years later, researching that epidemic in Norwood, Massachusetts, it was the interviews with survivors and family stories that illuminated the experience of the epidemic. This session focuses on those conversations and the rewards of gathering forgotten or ignored accounts of this tragic episode.","Patricia J. Fanning, PhD, is a public historian and Professor of Sociology Emeritus at Bridgewater State University. A lifelong resident of Norwood, Massachusetts, she is a long-time member and former president of the Norwood Historical Society. Her work was published in Influenza and Inequality: One Town's Tragic Response to the Great Epidemic of 1918."
"Revolutionary Revelation: Identifying Revolutionary War KIAs using Forensic Genealogy","In 2022, fourteen soldiers from the Battle of Camden on August 16th, 1780, were exhumed from the battlefield and reburied with full military honors. The archaeology offered many clues about how these soldiers lived and died, but not their names. Groundbreaking DNA science and expert genealogy have unlocked many tantalizing clues about their identities… and maybe even their names.","Stacey Ferguson is the Deputy Director and Battlefield Manager for the Historic Camden Foundation in Camden, South Carolina, and an Archaeological Field Technician with American Veterans Archaeological Recovery. A retired Lieutenant Colonel in the United States Air Force, she has appeared on shows on PBS, CBS, and NBC and will be featured in an upcoming episode of Secrets of the Dead."
"Samuel Parris: Villain, Victim, or . . .? Yet Another Question Raised by the Salem Witch Trials","Generations of commentators have delighted in depicting the Rev. Samuel Parris as an arch-villain. What exactly did Parris do during the witch trials–and not do? What was the situation in the Village that resulted in such an avoidable tragedy? And how did Parris spend the rest of his life both before and after the Salem witch trials?","Marilynne K. Roach, independent researcher, writer, and illustrator, has delved into the 1692 trials for nearly half a century. Roach was one of the sub-editors contributing to the definitive Records of the Salem Witch-Hunt, and has authored several books about the Salem Witch Trials including The Salem Witch Trials: a Day-by-Day Chronicle of a Community Under Siege and Six Women of Salem."
"Searching for Zickery Prince: A Journey Through the Archives","In this session, Melissa M. Cybulski will share her journey through archives, databases, and libraries looking for details of the life of a man enslaved in 18th Century Longmeadow, MA and Simsbury, CT. Zickery's life can be traced for more than 40 years, through 7 owners, 2 states, and ultimately a Revolutionary War hospital in Fishkill, NY where he died during his service in the Continental Army.","Melissa M. Cybulski is Vice-President of the Longmeadow Historical Society in Western Massachusetts. She is a local historian, museum guide at the Emily Dickinson Museum, and consultant for Historic New England's Witness Stones program. Melissa presented on the topic of Johnny Appleseed's Revolutionary Childhood at History Camp 2025."
"Seventeenth-Century English Immigrant Motivation and the Making of New England Institutions","This presentation reframes the Great Migration (1620–1640) by showing that religion was only one motivation. Many migrants also left England out of Duty and a desire for Justice, reacting to Crown-controlled courts and uneven legal protections. This talk explores how Faith, Duty, and Justice shaped both the immigrant experience and the development of local institutions.","John Cass has been a family historian since the 1980s, researching history in the UK, the west coast, and New England. He has presented at previous Boston History camps and at Historical Society Meetings."
"Shays' Rebellion: Reclaiming the Revolution","Shays' Rebellion presents an uncomfortable chapter in our history. How do we account for an armed insurrection against the state in the cradle of the American Revolution? We will take a new look at this tumultuous period by focusing on the experiences of three men from Williamsburg, all made prisoners of debt just before the Rebellion.","Tom Goldscheider earned his Masters degree in History at UMass Amherst with a concentration in the Colonial Period. He is a public historian who has published and lectured on Shays' Rebellion and labor unions in Greenfield, and is the Education Coordinator at the David Ruggles Center for History and Education."
"Sleuthing the 'Crime of the Century,' the 1910 Bombing of the Los Angeles Times: A Bomb Detective's Perspective","In the late afternoon of September 30, 1910, James Barnabus (JB) McNamara left his downtown Los Angeles hotel on a mission to plant bombs as part of a years-long, nationwide campaign of industrial sabotage and terror. A powerful explosion ripped through the Los Angeles Times building, killing twenty-one employees. In this presentation, Mike Digby, a 43-year veteran bomb detective, will discuss the so-called National Dynamite Plot from its origins to its demise.","Michael Digby retired after seven years in the US Army, followed by a 44-year law enforcement career in Los Angeles where he spent the majority of his time as a detective and FBI certified bomb technician. A native of Manchester, Massachusetts, Mike has used the 1910 bombing in his training of bomb detectives and technicians."
"Stopping to Witness History: How Micro-Monuments Inspire Human Connection","What does it mean to remember someone history forgot? Physical markers — plaques, monuments, and public art installations — offer powerful opportunities to reconnect communities with the past. The staff of Stopping Stones share their experience creating commemorations at sites of enslavement, labor, and worship, exploring how honoring forgotten lives can restore the humanity of enslaved Americans and open unexpected pathways to racial healing today.","Mikayla Harden, MA, holds degrees from the University of Texas at Austin and the University of Delaware, where she is completing her doctorate on the lives of enslaved Black children in eighteenth-century New York. | Pat Wilson Pheanious, JD MSSW, a Connecticut native, social worker and attorney, discovered five generations of her enslaved ancestors in 2017, becoming the Witness Stones Project's founding Board Chair in 2019 and Executive Director in 2024. | Liz Lightfoot serves as School and Youth Program Manager at Stopping Stones, coming from the Witness Stones Project. A journalist-turned-educator, she has a bachelor's degree from Harvard and a masters in Journalism from Columbia."
"Stories of the Signatures","Two hundred fifty years ago this month, members of the Continental Congress put their signatures on a handwritten copy of their Declaration. This talk explores selected stories about those signatures: who was among the first to sign yet doesn't appear today, who helped draft the Declaration but never signed it, who was last to sign, and the handprint that mysteriously appeared on the document.","J. L. Bell is the author of The Road to Concord: How Four Stolen Cannon Ignited the Revolutionary War and numerous articles. He maintains the Boston 1775 website, offering daily postings of history, analysis, and unabashed gossip about Revolutionary New England."
