Session Title,Speaker Name,Topic,Notes,Tags for app
"Famous Women, Forgotten Women: Stories from American History","Alan Fishel, Robin Hayutin",Women's History,Replied 5/19,"Women's History, Biography, Reformers, Civil Rights, Education, American History, Leadership, Social Change, Forgotten History, Diversity"
"Fredrick Douglass on the Massachusetts' Antislavery Circuit, 1840-1860",Anne F Mattina,Black History,Replied 5/18,"Black History, Frederick Douglass, Abolition, Civil Rights, Massachusetts, Public Speaking, Reform Movement, Slavery, Biography, 19th Century"
"From the Triangle Fire to Today: Women, Work, and the Fight for Safety and Dignity",Alycia Asai,Women's History; Labor/Industrial History,Replied 5/18,"Women's History, Labor History, Triangle Shirtwaist Factory Fire, Workplace Safety, Workers' Rights, Industrial History, Progressive Era, Immigration, Labor Reform, Women's Rights, Social Reform, New York City, Occupational Safety, Labor Activism, 20th Century"
George Boutwell: Fighting to Redeem America's Promise,Jeffrey Boutwell,Genealogy,Replied 5/18,"Reconstruction, Civil War, Politics, Equal Rights, Constitutional History, Massachusetts, Biography, Government, Civil Rights, Gilded Age"
"How English Witch-Hunting Manuals Guided New England's Witch Trials, 1647-1697","Josh Hutchinson, Sarah Jack","Legal History, Salem","Replied 5/19, awaiting final confirmation of participation, received 5/26","Witchcraft, Salem, Colonial America, Legal History, Religion, Puritanism, England, Primary Sources, Books, Cultural History"
How King Philip's War led to the Revolutionary War,David Weed,Am Rev,Replied 6/10; cannot be in first slot,"Indigenous History, King Philip's War, Native Americans, Colonial America, New England, Military History, Colonial Conflict, Wampanoag, 17th Century, Massachusetts"
I Am Not A Cautious Man: The Most Important Founding Father You've Never Heard Of,Rebecca Flynt,Am Rev,Replied 5/19,
Is he really buried there? Searching for the graves of the Signers of the Declaration of Independence,Jennifer Epstein Rudnick,Am Rev,Replied 5/23,"American Revolution, Declaration of Independence, Founding Fathers, Founding Era, Historic Cemeteries, Burial Sites, Memorials, Historic Preservation, Genealogy, Public History"
Living Historian: Britain's Glider Pilot Regiment,Kevin Getz,Living History,Replied 5/20,
"Maine Women and the Great Gathering of 10,000 in 1854",Judith C Granger,Women's History; Genealogy,Replied 5/28,
Mapping Boston's Literary History: From Colonial Printing Presses to Confessional Poets,Jessica A Kent,Literary History; Local History,Replied 5/19; wants to do walking tour on Sunday as well,"Boston, Literature, Authors, Literary History, Maps, Walking Tour, Public History, Local History, Cultural History, Historic Sites"
Martians! What the War of the Worlds Broadcast Tells Us About America on the eve of WWII,Lori Rogers-Stokes,Social History,Replied 5/19,"Radio, Mass Media, Popular Culture, Journalism, Public Panic, Technology, American Culture, Storytelling, Myth, 20th Century"
Much More than Taxation: Mercantilism and the Coming of the Revolution,Steven C Call,Am Rev,Replied 5/18,"American Revolution, Economics, Mercantilism, British Empire, Colonial America, Trade, Taxation, Political Economy, Causes of the Revolution, 18th Century"
Nathanael Greene: Savior of the Continental Army,Janet Uhlar,Am Rev,Received resubmission 5/21,"American Revolution, Military History, Biography, Southern Campaign, Continental Army, George Washington, Leadership, Strategy, Rhode Island, Revolutionary War"
Only a Dozen Loyalists in Marblehead?!,Judy Anderson,Am Rev,"Replied 5/28, wants 11:30 slot",
Oxen and the Revolution: How Four Hooves and a Set of Horns Helped Forge a Nation (1775-1781),Owen Laurenzo,Am Rev,Replied 5/19,
Park Street: A Mirror of Boston for Centuries,Rose A Doherty,Local History,Replied 5/18,
Paul Revere: Messenger Boy turned Industrial Entrepreneur,John Morton,Am Rev,Missed reply from 5/20; added to website 6/10,
Politics & Public Health 1918: The Great War Meets the Great Influenza,B Dale Magee,WWI; Medical History,Replied 5/20,
Printing Revolution: Declaration Edition,Andy Volpe,Am Rev,Posted 6/10,
Quaker Girl Takes Washington's Center State: The Influence of Dolley Maddison,Janet Parnes,Living History,Replied 5/18,
"Race & Brutality in the Neutral Ground: Colonel Christopher Greene and the 1st Rhode Island Regiment at Pines Bridge, May 14, 1781","Ben Powers, Bjorn Bruckshaw",Am Rev,"Replied 5/19, confirmed will combine into one session; changed topics 5/27",
Reconstructing the Spoken Word of the 18th-century through the Adams' Letters and Language,Sarah Walsh and Christopher Davis,Living History,Replied 5/19,
Remembering 1918: Stories from an Epidemic,Patricia J Fanning,WWI; Medical History,Replied 5/19,
Revolutionary Revelation: Identifying Revolutionary War KIAs using Forensic Genealogy,Stacey Ferguson,"Am Rev, Genealogy",Replied 6/2,
"Samuel Parris: Villain, Victim, or...? Yet Another Question Raised by the Salem Witch Trials",Marilynn K Roach,Legal History; Salem,Replied 5/18,
Seances: Searching for the Spirits,Rory Raven,Social History,Replied 5/25; emailed Lee 6/9 to cancel,
Searching for Zickery Prince: A Journey Through the Archives,Melissa M Cybulski,Am Rev,Replied 5/18,
Seventeenth Century English Immigrant Motivation and the Making of New England Institutions,John Cass,Immigrant History,Replied 5/18,
Shay's Rebellion: Reclaiming the Revolution,Tom Goldscheider,Am Rev,Replied 5/21,
"Sleuthing the 'Crime of the Century,' the 1910 Bombing of the Los Angeles Times: A Bomb Detective's Perspective",Michael Digby,,Replied 5/18; Awaiting new title/description; Replied 5/20,"True Crime, Labor History, Legal History, Trial, Journalism, Industrial America, Bombing, 20th Century, Unions, Criminal Justice"
Stopping to Witness History: How Micro-Monuments Inspire Human Connection,"Mikayla Harden, Pat Wilson Pheanious, Liz Lightfoot",Public History; Black History,Replied 5/26; duplicate presenter,
Stories from 40 years doing public history A lighthearted and uncensored conversation with Nina Zannieri,Nina and Lee,Public History; Local History,Need to send description for approval,
Stories of the Signatures,JL Bell,Am Rev,,
Telling Complex & Hard Histories: Interpreting Slavery at Small Historic Sites,"Nikki Stewart, Roeshana Moore-Evans, Suzy Buchanan, Jake?",Local History; Black History; Public History,Replied 5/20,
The 1800s: When Technology Collapsed Space and Time,Dan R Morris,Tech History,Canceled due to price of registration,
"The Industrial Beehive Takes Shape: Ideas, Innovation, and Enterprise in the Connecticut River Valley 1820-1970",Robert Forrant,Labor/Industrial History,Replied 5/18,"Industrial Revolution, Manufacturing, Labor History, Technology, Innovation, New England, Economic History, Factories, Industry, 19th Century"
The Making of Abolition Acre! A Black Freedom Trail in Boston,"Peter Snoad, Christie Rawlins-Jackson, Mikayla Harden",Local History; Black History; Public History,Replied 5/25; duplicate presenter,
The Marines Have Landed... The Continental Marines and the Birth of the US Marine Corps,Richard Tucker,Living History,Replied 5/18; needs 1st or 2nd slot,
The Trial of Lizzie Borden: Whacks and Hacks,Dennis Curran,Women's History; Legal History,Replied 5/18,
The True Story of The Woman Hobo: Separating Fact from Fiction in a 1908 Travelogue,Heather Cole,Women's History,Replied 5/18; wants session early in day,
The United States Navy in the American Gilded Age (1878-1898): From Rotting Relics to Herald of...Empire,Steve Parode,Military History,Replied 5/18,
The Unknown Musician - An Inquiry into the Origin of Taps,"Tom Mannle, Timothy A Wray",Military History,"Replied 5/25, needs early session",
Thirty days hath September... Except when it doesn't,Jake Sconyers,Social History,Replied 5/18,
Transformation of the Charlestown Territory in the Massachusetts Bay Colony from 1629 to 1800,Alison Simcox and Douglas Heath,Environmental History,Replied 5/18,
Transforming Dark Tourism Sites Into Cultural Hubs Through the Lens of Medfield State Hospital,Emma Bickford,Public History,Replied 5/19,"Medical History, Mental Health, Architecture, Historic Preservation, Massachusetts, Public Institutions, Local History, 20th Century, Social History, Photography"
Walking Cape Cod's Hidden History: from the American Revolution to the Kennedy/Civil Rights Era,Peggy Jablonski,Local History; Women's History; Indigenous History; Black History,Replied 5/19,
"Who Was Agent 355? Women, Espionage, and the Culper Ring in the American Revolution",Kit Sergeant,Am Rev; Women's History,Replied 6/1,
"Grassroots Group Revitalizes 285 Year Old Parish Cemetery in Norwood, Massachusetts",John M Grove,,More focused on revitalization project than history of cemetery/residents,
"The Mayflower Passenger, The Boston Settler: Goverance, War, and Witchcraft in the Life of Mary Chilton Winslow",Sarah Jack,,Rejected in favor of other submission,
A taste of History: The role of Chocolate in the 18th Century,Robert Lecce,,Not feasible in our space,
"Harvard College in War and Exile, 1775-1776",A Michael Ruderman,,Rejected in favor of other submission,
The Salem 1692 Witchcraft Trials: How the judges' prior experience impacted their decisions,Giovanni Alabiso,,"We already have 2 other Salem Trials. Past feedback includes very little research, alot of schtick, not high rankings at all",
"Amalia Kussner: Gilded Age Artist for ""the 400"" and Royality",Kathleen Langone,,Presented on Kussner in 2023 and was on Discussions. Needs a new topic,
